,drugbank_id,name,min dosage strength value,min dosage strength unit,max dosage strength value,max dosage strength unit,route,form,group,kinase inhibitor category,cas,smiles,ALOGPS solubility value,ALOGPS solubility unit
0,DB00006,Bivalirudin,250.0,mg,500.0,mg/100mL,Intravenous,"Powder, for solution","['approved', 'investigational']",False,128270-60-0,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,0.0464,g/l
1,DB00014,Goserelin,3.6,mg/1,10.8,mg/1,Subcutaneous,Implant,['approved'],False,65807-02-5,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,0.0283,g/l
2,DB00035,Desmopressin,0.1,mg/1,240.0,mcg,Oral,Tablet,['approved'],False,16679-58-6,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,0.11,g/l
3,DB00050,Cetrorelix,0.25,mg,3.0,mg,Subcutaneous,"Injection, powder, for solution","['approved', 'investigational']",False,120287-85-6,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0.00694,g/l
4,DB00067,Vasopressin,,,,,,,['approved'],False,11000-17-2,,,
5,DB00080,Daptomycin,350.0,mg/7mL,500.0,mg,Intravenous,"Injection, powder, lyophilized, for solution","['approved', 'investigational']",False,103060-53-3,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,0.0173,g/l
6,DB00091,Cyclosporine,0.0005,g/100mL,100.0,mg,Ophthalmic,Liquid,"['approved', 'investigational', 'vet_approved']",False,59865-13-3,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,,
7,DB00104,Octreotide,10.0,mg,1000.0,ug/mL,Intramuscular,Powder,"['approved', 'investigational']",False,83150-76-9,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,0.0122,g/l
8,DB00115,Cyanocobalamin,0.025,mg,1000.0,mcg,Oral,Tablet,"['approved', 'nutraceutical']",False,68-19-9,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO,,
9,DB00121,Biotin,0.002,mL/mL,500.0,mcg,Topical,Liquid,"['approved', 'investigational', 'nutraceutical']",False,58-85-5,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,1.22,g/l
10,DB00122,Choline,100.0,mg,500.0,mg,Oral,Tablet,"['approved', 'nutraceutical']",False,62-49-7,C[N+](C)(C)CCO,3.61,g/l
11,DB00125,L-Arginine,10.0,g/100mL,250.0,mg,Intravenous,"Injection, solution","['approved', 'nutraceutical']",False,74-79-3,N[C@@H](CCCNC(N)=N)C(O)=O,2.28,g/l
12,DB00126,Vitamin C,0.3,mg,1250.0,mg,Oral,Solution,"['approved', 'nutraceutical']",False,50-81-7,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,245.0,g/l
13,DB00130,L-Glutamine,5.0,g/1,5.0,g/1,Oral,"Powder, for solution","['approved', 'investigational', 'nutraceutical']",False,56-85-9,N[C@@H](CCC(N)=O)C(O)=O,97.8,g/l
14,DB00136,Calcitriol,0.25,ug/1,3.0,ug/g,Oral,"Capsule, liquid filled","['approved', 'nutraceutical']",False,32222-06-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,0.00667,g/l
15,DB00137,Lutein,20.0,g/100g,20.0,g/100g,Oral,Capsule,"['approved', 'investigational', 'nutraceutical']",False,127-40-2,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,0.000732,g/l
16,DB00140,Riboflavin,1.46,mg/mL,200.0,mg,Ophthalmic,Solution / drops,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",False,83-88-5,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,0.657,g/l
