,drugbank_id,name,min dosage strength value,min dosage strength unit,max dosage strength value,max dosage strength unit,route,form,group,kinase inhibitor category,cas,smiles,ALOGPS solubility value,ALOGPS solubility unit
0,DB00035,Desmopressin,0.1,mg/1,0.24,mg,Oral,Tablet,['approved'],False,16679-58-6,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O,0.11,g/l
1,DB00115,Cyanocobalamin,0.025,mg,1.0,mg,Oral,Tablet,"['approved', 'nutraceutical']",False,68-19-9,[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO,,
2,DB00122,Choline,100.0,mg,500.0,mg,Oral,Tablet,"['approved', 'nutraceutical']",False,62-49-7,C[N+](C)(C)CCO,3.61,g/l
3,DB00126,Vitamin C,0.3,mg,1250.0,mg,Oral,Solution,"['approved', 'nutraceutical']",False,50-81-7,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,245.0,g/l
4,DB00130,L-Glutamine,5000.0,mg/1,5000.0,mg/1,Oral,"Powder, for solution","['approved', 'investigational', 'nutraceutical']",False,56-85-9,N[C@@H](CCC(N)=O)C(O)=O,97.8,g/l
5,DB00136,Calcitriol,0.00025,mg/1,3.0,ug/g,Oral,"Capsule, liquid filled","['approved', 'nutraceutical']",False,32222-06-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,0.00667,g/l
7,DB00146,Calcidiol,0.03,mg/1,0.03,mg/1,Oral,"Capsule, extended release","['approved', 'nutraceutical']",False,19356-17-3,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,0.0022,g/l
8,DB00150,L-Tryptophan,1000.0,mg,750.0,mg,Oral,Tablet,"['approved', 'nutraceutical', 'withdrawn']",False,73-22-3,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,1.36,g/l
9,DB00152,Thiamine,0.05,mg,500.0,mg,Oral,Liquid,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",False,70-16-6,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,0.0153,g/l
10,DB00152,Thiamine,0.05,mg,500.0,mg,Oral,Liquid,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",False,70-16-6,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,0.0153,g/l
11,DB00158,Folic Acid,0.4,mg,0.8,mg,Oral,Tablet,"['approved', 'nutraceutical', 'vet_approved']",False,59-30-3,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,0.0761,g/l
12,DB00165,Pyridoxine,2.0,mg,500.0,mg,Oral,Tablet,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",False,65-23-6,CC1=C(O)C(CO)=C(CO)C=N1,16.1,g/l
13,DB00175,Pravastatin,10.0,mg,80.0,mg/1,Oral,Tablet,['approved'],False,81093-37-0,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,0.242,g/l
15,DB00178,Ramipril,1.25,mg,15.0,mg,Oral,Capsule,['approved'],False,87333-19-5,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,0.039,g/l
16,DB00185,Cevimeline,30.0,mg/1,30.0,mg/1,Oral,Capsule,['approved'],False,107233-08-9,CC1O[C@@]2(CS1)CN1CCC2CC1,2.41,g/l
18,DB00189,Ethchlorvynol,200.0,mg,750.0,mg,Oral,Capsule,"['approved', 'illicit', 'withdrawn']",False,113-18-8,[H]C(Cl)=CC(O)(CC)C#C,0.143,g/l
21,DB00193,Tramadol,50.0,mg/1,400.0,mg,Oral,Tablet,"['approved', 'investigational']",False,27203-92-5,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,0.75,g/l
